,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt
Williams College,1.25,30971,0,38770,3131,4145,11776,3903,-1
University of California-Santa Barbara,1.62,100346,26137,189205,26667,31874,27361,17658,35761
University of California-Irvine,1.73,114819,23761,223301,52522,30741,48947,13023,30753
University of Michigan-Ann Arbor,1.76,348342,0,614701,108395,136066,138761,67617,44532
University of Virginia-Main Campus,1.81,140023,3667,258413,16387,51780,66177,34763,21229
University of California-Riverside,1.87,73761,11428,149813,24542,21249,27100,14529,25731
University of Illinois at Urbana-Champaign,1.96,216130,6066,430711,37167,79265,97229,50028,40576
Carnegie Mellon University,1.99,115961,19521,250589,18720,98881,65661,24974,-1
University of California-Davis,2.06,169033,52091,401440,70828,77923,48577,37297,40448
University of California-Los Angeles,2.15,232257,34433,535499,115802,75049,113125,34974,41779
University of California-Berkeley,2.2,209408,84866,546887,77950,98549,87940,56774,69326
University of California-Santa Cruz,2.27,59200,13426,148399,27203,32728,22614,11543,23097
Massachusetts Institute of Technology,2.35,174614,366125,778081,56387,75535,98838,77598,-1
Princeton University,2.37,133343,0,317146,18312,75405,74823,49933,-1
University of California-San Diego,2.62,118789,41278,352748,64328,70857,55013,29436,37532
Stanford University,2.65,180755,27428,507470,124772,89675,107309,65963,-1
Harvard University,2.76,280559,0,776118,106191,158947,278059,70506,-1
