,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux
University of California-Santa Barbara,1.3,111838,24854,207810,30665,37394,29453,19527,40968,37251
Williams College,1.36,31763,0,43451,3068,4298,14768,4711,-1,0
University of Virginia-Main Campus,1.36,164552,3746,279724,23681,51438,77982,31469,23607,50752
University of California-Irvine,1.5,134427,21572,250247,61287,36718,56039,14232,34384,25858
University of California-Riverside,1.56,79903,10990,159950,24985,23522,29231,14273,28158,23908
University of Michigan-Ann Arbor,1.63,375694,0,668795,105501,142372,153498,70278,48429,55487
University of Illinois at Urbana-Champaign,1.68,241550,5521,481419,44184,87393,115767,53159,44427,69470
University of California-Los Angeles,1.75,246744,35546,591439,133922,82627,126927,37930,48279,121764
University of California-Davis,1.92,186465,54011,440716,84185,86824,51791,41024,49617,27017
University of California-Santa Cruz,1.93,64839,13251,162459,31894,36743,24044,12622,25900,23606
Carnegie Mellon University,2.01,121867,19979,265260,21013,92718,85214,22089,-1,0
University of California-Berkeley,2.23,232336,82168,653087,97449,105253,136066,68920,79109,51920
University of California-San Diego,2.25,133143,44542,388464,77410,73787,55422,34422,41656,43556
Princeton University,2.35,146664,0,344962,22473,81156,80915,54793,-1,0
Massachusetts Institute of Technology,2.46,195626,385200,866694,62843,87522,117001,99388,-1,0
Stanford University,2.57,201457,31451,550300,149602,91067,118697,71227,-1,0
Harvard University,2.95,320619,112019,1059384,80548,188335,262720,171272,-1,0
